Area	EdgeDistance_Error	Density_In_Ellipse	Ramanujan	Red_MEAN
1830.626108	0.006212	0.993014	1.059216	29.575589
1962.687103	0.007415	0.967658	1.150952	26.822118
2228.523868	0.002418	0.98727	1.090145	27.300623
295.1179	0.015516	0.951041	1.016672	17.677574
1715.205622	0.004886	0.988427	1.044473	29.984246
2196.138651	0.002836	0.987646	1.016506	34.139909
1279.561038	0.006199	0.987328	0.963278	30.926281
2665.87887	0.001586	0.994495	1.02303	31.558866
1621.903143	0.001516	0.996952	0.956987	30.924498
436.96211	0.00428	0.979289	1.012669	18.682818
1488.547187	0.003878	0.984695	1.078838	28.344883
1760.08426	0.002982	0.99514	0.962435	29.502386
1357.16183	0.005812	0.989319	0.990847	27.771998
889.639701	0.004063	0.98829	0.9936	23.506051
1460.011511	0.012701	0.957715	1.090445	29.612684
2433.025713	0.022443	0.967055	1.237534	31.527694
1241.493017	0.017267	0.946229	1.026924	28.388117
325.981425	0.010416	0.952751	0.986786	16.387639
1754.706067	0.001527	0.993763	0.985587	27.732886
2106.770522	0.001957	0.996987	0.942546	30.824947
372.727429	0.00788	0.967641	0.975174	16.820649
330.365483	0.022949	0.934038	0.973668	16.140226
1202.488726	0.005967	0.986723	1.005839	25.541158
1861.682864	0.004827	0.996367	0.95195	28.41694
2113.940374	0.001325	0.995766	0.978713	35.136927
1265.315468	0.002778	0.983073	0.997976	30.745871
661.896798	0.00513	0.981876	1.006037	21.9594
1766.322306	0.003822	0.998138	0.941093	28.746321
290.746495	0.010085	0.955973	0.998815	15.547819
1324.285576	0.002548	0.998101	0.933956	28.26982
1289.568068	0.002259	0.997976	0.93069	28.877647
423.574949	0.002496	0.989513	0.940201	17.805584
1616.427454	0.001339	0.995888	0.993276	24.619656
386.280742	0.017177	0.924903	1.102447	14.672472
1940.958635	0.002775	0.993741	0.967458	22.344399
1068.512402	0.006921	0.993436	0.946987	18.698948
1565.599006	0.002594	0.996269	0.950469	29.437579
1881.971353	0.003106	0.99731	0.937297	31.545563
1056.477113	0.001323	0.997081	0.985834	28.492839
1199.064039	0.000831	0.995709	1.024194	36.031577
1669.113164	0.005258	0.996692	0.97159	32.749406
2361.551957	0.003434	0.995874	0.958345	37.961934
1393.764292	0.001949	0.99864	0.941168	22.139376
1022.928687	0.003344	0.99581	0.980539	21.278048
1830.017663	0.00659	0.993792	0.944892	27.216823
1435.061641	0.005761	0.972469	0.954188	24.504793
2187.744831	0.003988	0.98814	1.008536	29.989177
1463.365183	0.003419	0.995153	0.951658	28.319798
920.784488	0.001296	0.997029	0.936443	29.853193
1540.377854	0.003674	0.997481	0.913542	32.455675
2114.028198	0.006139	0.96059	1.15731	28.957442
1870.17005	0.013304	0.966773	1.069658	22.547113
798.861568	0.00136	0.993265	0.954857	22.125105
1675.911188	0.004989	0.992397	1.000037	33.126987
179.003183	0.035052	0.924248	0.997933	16.142057
1768.167107	0.011146	0.997512	0.922323	23.097009
1140.568922	0.025404	0.973234	1.031704	23.6818
1384.004734	0.013012	0.919617	1.155485	24.714438
2191.044648	0.001564	0.995646	0.972875	28.569204
1819.082454	0.001688	0.996879	0.916212	30.39699
255.628334	0.014227	0.954494	0.908421	15.082089
1045.276725	0.001344	0.995902	0.947824	19.261721
1017.056495	0.002272	0.995294	0.924164	21.08684
1456.06886	0.000773	0.996996	0.952213	42.595194
1252.755927	0.003077	0.99819	0.943281	1.115942
1266.127844	0.00113	0.99491	0.956524	44.119656
2845.474589	0.005841	0.993078	0.955873	39.940857
1316.197944	0.001608	0.99852	0.945319	19.892493
1754.561542	0.002079	0.996873	0.972825	36.237143
1918.060073	0.003067	0.991786	1.055097	34.600098
1178.513451	0.010173	0.964468	1.056099	30.720775
1494.646443	0.000761	0.998895	0.910984	27.781843
1215.346546	0.002568	0.998589	0.926208	30.294877
478.859981	0.002292	0.989044	0.986996	19.933967
904.021599	0.002159	0.994196	0.972454	22.906376
1947.029526	0.002694	0.996602	0.92889	23.301288
1431.148273	0.003846	0.997676	0.955181	30.47536
1841.947427	0.001541	0.995715	0.962539	35.494197
957.737344	0.004851	0.99221	0.957889	32.117318
2111.206053	0.006749	0.993242	0.956123	39.207699
1790.539718	0.000939	0.997908	0.931638	24.265613
1758.376805	0.004287	0.995233	0.948153	31.279394
1210.509557	0.003375	0.987114	0.93438	32.852786
1112.591536	0.002166	0.994604	0.959548	30.573142
1804.31436	0.004904	0.997739	0.921259	44.581002
613.903994	0.004573	0.982182	0.947677	33.751598
836.098041	0.003219	0.991184	0.978199	31.188973
1442.786868	0.000569	0.997766	0.912309	34.639844
1840.973246	0.002035	0.989832	0.974012	36.299791
702.71901	0.003685	0.988576	0.961428	26.274848
1715.450854	0.003494	0.996204	0.988093	32.18016
1831.127286	0.002065	0.995862	0.944768	34.799111
745.033742	0.007301	0.983742	0.986578	28.575366
1327.336015	0.002134	0.993264	0.946846	37.1273
1596.649774	0.005255	0.996504	0.950558	38.04589
964.965469	0.00569	0.9906	0.969033	35.435869
1803.960803	0.006006	0.995219	0.965127	37.145827
487.467373	0.00336	0.987246	0.913943	25.565668
1761.481302	0.001364	0.997258	0.958394	38.577233
1411.80569	0.005089	0.992695	0.966432	29.837203
2036.215037	0.005387	0.994982	0.989388	32.059948
549.977586	0.011026	0.967381	1.007407	20.509317
1879.510068	0.00121	0.995356	1.005573	31.69251
983.435471	0.003748	0.981049	0.988856	28.276659
1838.977788	0.005276	0.996508	0.930678	33.758019
1427.348835	0.002564	0.996869	0.98766	33.048978
2147.128992	0.001432	0.996476	0.971025	35.303883
1839.154972	0.00379	0.993977	0.985011	29.601821
1003.714036	0.001731	0.99263	0.947542	30.266676
2073.759259	0.004805	0.996987	0.981538	29.698636
1648.967979	0.002724	0.997873	0.933309	28.752285
968.919791	0.004504	0.983646	0.969599	26.733638
1104.450796	0.003902	0.988223	0.967451	30.921985
2161.408558	0.006109	0.978079	1.056356	32.20653
1691.049593	0.00166	0.989972	1.050972	35.240719
976.186697	0.001968	0.9896	0.978709	25.422239
244.259786	0.012541	0.960786	1.016262	17.635687
1823.412763	0.002428	0.99068	1.030346	31.064731
1352.448823	0.00389	0.98905	1.048235	1.115942
1640.568075	0.005302	0.996676	0.951538	24.559197
986.484357	0.002024	0.996934	0.911897	23.753405
1706.368764	0.005102	0.995913	0.94076	31.326442
1875.381366	0.005182	0.980634	0.964822	36.428005
1155.370582	0.003166	0.995857	0.949175	32.661679
1928.913292	0.003759	0.993706	0.943525	28.986894
1142.90161	0.004311	0.991325	0.983972	29.697204
1057.285357	0.002072	0.996837	0.932904	39.192036
1990.748384	0.002954	0.996302	0.95438	27.877887
1323.698337	0.00206	0.990948	0.972219	18.729141
1448.748673	0.001356	0.998323	0.931184	31.295175
1299.320095	0.001287	0.998428	0.928835	27.33816
1253.563808	0.008775	0.991175	0.98515	15.566243
181.763269	0.003627	0.985715	0.991595	13.555502
674.282413	0.005893	0.992829	1.021926	14.429021
1167.488984	0.003402	0.997746	0.919568	29.265903
